角色ID,角色,武器類型,技能分類,技能ID,技能名稱,技能類型,冷卻秒,耐力消耗,壓力消耗,生命消耗,HitBox數,傷害事件數,表內Atk倍率總和%,傷害HitBox倍率,備註
100001,佳映,Sword,基本攻擊,10010000,,Active,0,0,0,0,3,3,320,100100001:100%/背刺;100100002:105%/背刺;100100003:115%/背刺,
100001,佳映,Sword,閃避/衝刺,10010100,飛燕步,Active,0.35,25,0,0,2,1,130,100101002:130%,
100001,佳映,Sword,主動技能,10010300,連鎖衝鋒,Active,8,0,0,0,2,2,180,100103001:80%/背刺;100103002:100%,
100001,佳映,Sword,主動技能,10010400,制壓符,Active,13,0,5,0,1,0,0,,被動/召喚/特殊事件可能不是直接 HitBox 傷害
100001,佳映,Sword,主動技能,10010700,[終極]鬼滅之舞,Active,0,0,0,0,4,2,800,100107002:140%/背刺;100107004:660%/背刺,
100001,佳映,Sword,主動技能,10010600,鬼神斬,Active,4.5,0,2,0,2,1,325,100106002:325%/背刺,
100001,佳映,Sword,主動技能,10010500,彈開,Active,5,15,0,0,3,1,325,100105003:325%/背刺,
100001,佳映,Sword,被動技能,10010800,驅魔之路,Preview,0,0,0,0,0,0,0,,被動/召喚/特殊事件可能不是直接 HitBox 傷害
100001,佳映,Sword,被動技能,10010001,,Passive,0,0,0,0,0,0,0,,被動/召喚/特殊事件可能不是直接 HitBox 傷害
100001,佳映,Sword,被動技能,10010002,,Passive,0,0,0,0,1,0,0,,被動/召喚/特殊事件可能不是直接 HitBox 傷害
100001,佳映,Sword,被動技能,10010401,[測試][Dummy]Swordsman Takedown 3-hit Stun,Passive,0,0,0,0,0,0,0,,被動/召喚/特殊事件可能不是直接 HitBox 傷害
100001,佳映,Sword,被動技能,10010801,,Passive,0,0,0,0,0,0,0,,被動/召喚/特殊事件可能不是直接 HitBox 傷害
100001,佳映,Sword,被動技能,10010802,,Passive,0,0,0,0,0,0,0,,被動/召喚/特殊事件可能不是直接 HitBox 傷害
100001,佳映,Sword,被動技能,71000001,,Passive,0,0,0,0,1,1,0,800000001:0%,
