項目,數值,說明
屬性抗性計算,最終屬性倍率 = 1 - ResistancePercent / 100,抗性 -25 代表傷害 x1.25；抗性 25 代表傷害 x0.75。
弱點一般幅度,-25% 抗性 = +25% 傷害,目前怪物表最常見弱點值。
抗性一般幅度,25% 抗性 = -25% 傷害,目前怪物表最常見抗性值。
弱點爆發常數,火 40% / 水 35% / 風 27.5%,這是 WeakPoint 滿層額外傷害常數，和單純屬性抗性不同。
弱點增傷詞條,WeaknessDamagePercent,裝備/詞條中的弱點增傷是額外增傷；例如時間扭曲手鐲 23014 有 WeaknessDamagePercent:20。
怪物抗性組合,火0 / 水0 / 風0，數量 49,最佳打 火，效果 0%
怪物抗性組合,火-25 / 水0 / 風0，數量 38,最佳打 火，效果 +25%
怪物抗性組合,火0 / 水0 / 風-25，數量 35,最佳打 風，效果 +25%
怪物抗性組合,火0 / 水-25 / 風0，數量 28,最佳打 水，效果 +25%
怪物抗性組合,火25 / 水0 / 風0，數量 18,最佳打 水，效果 0%
怪物抗性組合,火-25 / 水25 / 風0，數量 16,最佳打 火，效果 +25%
怪物抗性組合,火25 / 水0 / 風-25，數量 10,最佳打 風，效果 +25%
怪物抗性組合,火0 / 水-25 / 風25，數量 9,最佳打 水，效果 +25%
怪物抗性組合,火0 / 水25 / 風0，數量 6,最佳打 火，效果 0%
怪物抗性組合,火-25 / 水0 / 風25，數量 2,最佳打 火，效果 +25%
怪物抗性組合,火25 / 水-25 / 風25，數量 1,最佳打 水，效果 +25%
