難度,掉落池ID,群組ID,掉落池備註,抽取次數,先抽稀有度,忽略難度,普通物品BP,遺物BP,None有效權重,None比例,Normal有效權重,Normal比例,Rare有效權重,Rare比例,Elite有效權重,Elite比例,Epic有效權重,Epic比例,Legend有效權重,Legend比例,Unique有效權重,Unique比例
Easy,100,100,라운지 - 기본 포션 상자,2,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,100,100,라운지 - 기본 포션 상자,2,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,100,100,라운지 - 기본 포션 상자,2,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,100,100,라운지 - 기본 포션 상자,2,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,110,110,라운지 - 기본 무기 상자 1,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,110,110,라운지 - 기본 무기 상자 1,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,110,110,라운지 - 기본 무기 상자 1,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,110,110,라운지 - 기본 무기 상자 1,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,111,110,라운지 - 기본 무기 상자 2,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,111,110,라운지 - 기본 무기 상자 2,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,111,110,라운지 - 기본 무기 상자 2,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,111,110,라운지 - 기본 무기 상자 2,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,112,110,라운지 - 기본 무기 상자 3,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,112,110,라운지 - 기본 무기 상자 3,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,112,110,라운지 - 기본 무기 상자 3,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,112,110,라운지 - 기본 무기 상자 3,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,113,110,라운지 - 기본 무기 상자 4,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,113,110,라운지 - 기본 무기 상자 4,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,113,110,라운지 - 기본 무기 상자 4,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,113,110,라운지 - 기본 무기 상자 4,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,1000,1000,튜토리얼 - 포션 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,1000,1000,튜토리얼 - 포션 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,1000,1000,튜토리얼 - 포션 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,1000,1000,튜토리얼 - 포션 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,1001,1001,튜토리얼 - 진정제 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,1001,1001,튜토리얼 - 진정제 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,1001,1001,튜토리얼 - 진정제 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,1001,1001,튜토리얼 - 진정제 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,1002,1002,튜토리얼 - 열쇠 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Normal,1002,1002,튜토리얼 - 열쇠 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Hard,1002,1002,튜토리얼 - 열쇠 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Insane,1002,1002,튜토리얼 - 열쇠 상자,1,FALSE,TRUE,10000,0,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,1000,20.00%,0,0.00%,0,0.00%
Easy,111000,111000,챕1 - 도구 상자,3,TRUE,FALSE,8000,250,0,0.00%,4000,50.00%,4000,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Normal,111000,111000,챕1 - 도구 상자,3,TRUE,FALSE,8000,250,0,0.00%,4000,50.00%,4000,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Hard,111000,111000,챕1 - 도구 상자,3,TRUE,FALSE,8000,250,0,0.00%,4000,50.00%,4000,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Insane,111000,111000,챕1 - 도구 상자,3,TRUE,FALSE,8000,250,0,0.00%,4000,50.00%,4000,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
