難度,怪物ID,怪物名稱,怪物原名,怪物類型,怪物類型原值,怪物分類,怪物分類原值,HP,攻擊,防禦,難度HP倍率%,難度攻擊倍率%,難度防禦倍率%,基礎HP,基礎攻擊,基礎防禦,火抗性%,水抗性%,風抗性%,建議屬性,弱點說明,抗性說明,掉落池ID,掉落池名稱,掉落ID來源,出現設定ID,出現機率,移動速度,攻擊速度,視野距離,背後視野距離,主動技能ID,被動技能ID
Easy,820004,人形稻草人,허수아비(인간),普通,Normal,人類(Human),Human,7000,119.35,40.3,70,55,65,10000,217,62,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,2,2,,40010007|40010008|40010009
Hard,820004,人形稻草人,허수아비(인간),普通,Normal,人類(Human),Human,15000,249.55,58.9,150,115,95,10000,217,62,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,2,2,,40010007|40010008|40010009
Insane,820004,人形稻草人,허수아비(인간),普通,Normal,人類(Human),Human,24000,282.1,65.1,240,130,105,10000,217,62,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,2,2,,40010007|40010008|40010009
Normal,820004,人形稻草人,허수아비(인간),普通,Normal,人類(Human),Human,8500,184.45,52.7,85,85,85,10000,217,62,0,0,0,無,無明顯弱點,無明顯抗性,,,,,,0,1,2,2,,40010007|40010008|40010009
Easy,200017,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,546,101.75,50.7,70,55,65,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,221000,챕2 괴이 몬스터 (노멀),221000:MonsterSpawn,20010501,4500,1.4,1,3,1.3,20001020|20001021|20001023,
Easy,210018,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,546,101.75,50.7,70,55,65,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001020|20001021|20001023,
Easy,240018,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,273,76.45,50.7,70,55,65,390,139,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001020|20001021|20001023,
Hard,200017,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,1170,212.75,74.1,150,115,95,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,221000,챕2 괴이 몬스터 (노멀),221000:MonsterSpawn,20010501,4500,1.4,1,3,1.3,20001020|20001021|20001023,
Hard,210018,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,1170,212.75,74.1,150,115,95,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001020|20001021|20001023,
Hard,240018,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,585,159.85,74.1,150,115,95,390,139,78,0,0,-25,風,風 -25%,無明顯抗性,,,,,,1.6,1,3,2.5,20001020|20001021|20001023,
Insane,200017,人體模特（女）,마네킹(여성),普通,Normal,幻象(Phantasm),Phantasm,1872,240.5,81.9,240,130,105,780,185,78,0,0,-25,風,風 -25%,無明顯抗性,221000,챕2 괴이 몬스터 (노멀),221000:MonsterSpawn,20010501,4500,1.4,1,3,1.3,20001020|20001021|20001023,
